b_max,b_mean,b_min,b_p10,b_p15,b_p20,b_p25,b_p30,b_p35,b_p40,b_p45,b_p5,b_p50,b_p55,b_p60,b_p65,b_p70,b_p75,b_p80,b_p85,b_p90,b_p95,b_std,g_max,g_mean,g_min,g_p10,g_p15,g_p20,g_p25,g_p30,g_p35,g_p40,g_p45,g_p5,g_p50,g_p55,g_p60,g_p65,g_p70,g_p75,g_p80,g_p85,g_p90,g_p95,g_std,r_max,r_mean,r_min,r_p10,r_p15,r_p20,r_p25,r_p30,r_p35,r_p40,r_p45,r_p5,r_p50,r_p55,r_p60,r_p65,r_p70,r_p75,r_p80,r_p85,r_p90,r_p95,r_std
204,93.25,18,20.9,23.0,25.0,28.5,41.7,45.3,60.800000000000004,76.95000000000005,20.0,101.5,120.0,129.0,133.0,137.0,144.25,148.2,154.0,164.10000000000002,180.2,58.21621337737452,84,60.73,24,47.0,51.0,52.8,53.0,55.0,57.0,58.0,59.0,45.0,61.0,62.0,63.4,65.35000000000001,68.0,69.0,71.0,71.14999999999999,74.0,79.0,11.276395700754742,123,67.21,28,39.0,40.85,42.800000000000004,43.0,46.699999999999996,50.0,53.2,57.550000000000004,35.949999999999996,63.0,73.80000000000001,81.4,84.0,86.0,87.25,89.0,91.14999999999999,97.20000000000002,104.14999999999999,24.29003705225663
202,96.81,16,21.0,23.85,26.0,30.5,41.89999999999999,57.499999999999986,73.0,95.20000000000002,20.0,105.5,119.9,127.4,133.35000000000002,139.89999999999998,146.0,155.60000000000002,161.15,168.3,182.05,58.58544102419986,91,65.05,47,52.0,54.0,55.0,56.0,58.0,60.0,61.0,62.550000000000004,50.0,63.0,66.0,67.0,69.35000000000001,72.0,74.0,75.0,76.0,79.0,82.05,10.314431637274058,119,70.2,36,40.9,42.0,44.8,47.0,50.699999999999996,55.65,63.0,67.55000000000001,38.9,70.5,74.80000000000001,81.4,84.35000000000001,87.3,89.0,94.0,95.0,97.10000000000001,104.14999999999999,22.93774182433833
194,101.74,19,22.900000000000002,24.85,27.0,36.0,49.7,71.25,84.80000000000001,93.10000000000001,20.95,117.5,128.9,137.39999999999998,140.70000000000002,147.0,148.75,154.2,159.44999999999996,177.1,185.09999999999997,58.18051563882878,83,60.55,41,48.8,50.0,51.8,52.75,54.699999999999996,57.0,59.0,60.0,44.0,61.0,62.0,63.0,64.0,65.0,66.0,68.2,72.0,74.10000000000001,77.0,9.622239863981775,114,69.03,31,38.0,39.85,41.8,47.0,48.7,52.65,54.6,65.10000000000001,35.9,74.5,80.45,83.4,85.35000000000001,87.0,88.0,91.0,93.14999999999999,98.30000000000003,105.14999999999999,23.921310582825516
195,100.75,16,21.0,22.849999999999998,25.8,34.25,49.4,67.14999999999998,86.80000000000001,100.0,18.950000000000003,114.5,126.9,138.8,143.35000000000002,149.0,153.0,154.4,159.44999999999996,168.0,172.25,57.62176238193344,85,63.32,40,47.8,52.85,54.0,56.0,58.699999999999996,59.0,61.0,62.0,43.0,65.0,65.45,66.0,68.0,69.3,70.25,72.0,75.14999999999999,78.0,80.1,10.968026258174257,113,70.28,29,36.0,40.0,42.800000000000004,44.0,47.0,55.599999999999994,59.6,68.65,34.95,79.0,82.0,86.0,87.0,88.0,89.25,93.0,96.14999999999999,101.0,105.05,24.64267842585298
64,61.05,58,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,0.9630680142129111,31,28.41,27,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.95,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,0.7224264668462805,41,38.47,36,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,0.8420807562223471
219,101.84,17,22.900000000000002,25.7,27.0,28.0,36.0,47.0,58.400000000000006,82.55000000000001,19.95,100.0,124.70000000000002,134.6,150.05,154.0,159.5,170.4,186.0,190.3,204.2,67.4354090964087,121,74.01,27,49.699999999999996,55.7,58.800000000000004,61.75,64.0,66.65,70.0,71.55000000000001,42.0,74.0,75.0,77.4,81.35000000000001,83.6,86.0,89.4,95.0,100.10000000000001,105.05,19.157502446822235,146,76.89,27,40.0,45.699999999999996,50.0,54.5,58.0,60.65,65.0,71.0,34.9,75.5,84.9,87.4,91.0,95.0,99.0,103.2,107.14999999999999,112.0,119.24999999999999,27.937034559881262
262,117.85,20,22.0,23.0,24.8,27.75,35.4,48.65,69.60000000000001,94.75000000000003,21.0,107.0,142.45,154.8,166.05,180.3,193.25,202.4,224.45,233.1,243.10000000000002,82.6439804220489,106,74.42,23,52.9,58.0,61.6,66.0,68.0,69.65,72.0,73.55000000000001,48.900000000000006,75.0,77.0,79.4,82.0,84.3,86.25,89.0,90.14999999999999,96.10000000000001,102.0,17.158193378091994,135,82.15,25,42.0,46.849999999999994,51.8,54.0,56.7,62.3,64.0,67.0,38.849999999999994,78.5,90.80000000000001,99.4,103.35000000000001,110.3,112.0,115.2,119.14999999999999,125.0,128.05,31.86953874783882
236,99.8,17,21.9,25.85,27.0,31.75,37.599999999999994,49.949999999999996,57.6,72.65,19.0,102.0,123.35000000000001,129.39999999999998,142.0,152.0,155.75,165.20000000000002,173.15,186.10000000000002,201.04999999999998,65.35885555913597,85,53.29,25,38.0,40.0,42.800000000000004,44.0,45.0,47.0,48.0,50.0,37.0,51.0,52.0,54.4,57.0,60.0,63.0,67.0,68.14999999999999,70.0,79.1,13.183546563804446,126,63.35,26,31.0,32.85,34.0,35.0,37.7,39.0,42.6,47.0,29.950000000000003,55.5,70.45,75.0,80.35000000000001,87.3,92.0,93.0,94.14999999999999,99.10000000000001,112.05,29.147341216653018
188,95.14,17,21.0,24.700000000000003,30.0,31.0,41.7,50.65,67.6,88.95000000000005,18.950000000000003,104.5,115.45,129.79999999999998,138.35000000000002,142.3,152.0,153.2,156.29999999999998,162.10000000000002,174.1,57.15628049479777,78,55.84,23,42.900000000000006,45.0,46.0,47.0,48.7,50.0,51.0,55.0,39.95,56.5,58.45,60.4,61.35000000000001,63.3,65.25,67.0,68.14999999999999,70.0,72.1,11.505407424337479,107,62.68,27,32.9,34.0,36.0,36.75,38.0,42.0,47.800000000000004,51.0,30.0,65.5,68.0,73.8,79.35000000000001,81.6,86.25,89.0,94.0,97.10000000000001,102.05,25.628452938092067
165,66.46,22,60.0,60.0,60.0,60.0,60.7,61.0,61.0,61.0,57.949999999999996,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.14999999999999,66.2000000000001,131.25,21.934639272164926,72,32.15,22,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,28.35000000000001,29.0,29.0,29.0,29.14999999999999,53.20000000000002,63.099999999999994,11.330820799924425,89,42.2,31,37.900000000000006,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,39.2,40.0,50.100000000000094,77.14999999999999,11.581882403132921
228,101.81,17,23.0,24.85,26.0,28.0,41.7,54.3,80.20000000000002,95.20000000000002,20.0,108.0,124.35000000000001,139.4,142.35000000000002,147.0,152.75,158.4,164.29999999999998,177.1,199.15,62.58940725074811,107,67.27,39,50.0,54.0,55.0,56.0,58.0,59.65,61.0,63.0,44.85,64.0,65.0,67.0,71.0,74.3,78.0,81.2,86.0,90.10000000000001,95.0,15.226197818234205,138,73.72,29,40.0,42.0,47.0,50.0,52.0,57.65,65.2,71.0,35.849999999999994,75.0,78.45,81.4,87.0,90.0,92.25,95.4,102.44999999999997,108.10000000000001,116.39999999999998,26.866365589710863
181,92.86,17,22.0,24.0,25.0,31.5,37.4,48.949999999999996,65.80000000000001,82.10000000000001,19.95,94.0,118.45,127.0,136.70000000000002,141.0,145.25,149.2,155.0,165.2,168.05,56.146953612818564,84,57.36,24,44.8,46.0,47.0,48.0,51.0,53.0,55.0,57.0,41.9,58.5,60.0,62.0,63.0,64.0,65.25,67.2,70.0,71.10000000000001,74.05,11.735859576528684,106,63.04,27,33.9,37.0,37.8,39.0,41.7,43.0,48.0,56.550000000000004,31.9,62.0,69.25000000000001,75.8,81.0,82.0,84.0,85.4,91.0,95.0,99.19999999999999,24.119253719798213
228,91.76,18,23.0,27.0,28.0,29.0,32.7,45.949999999999996,52.0,76.95000000000005,21.0,85.5,102.35000000000001,111.80000000000001,124.70000000000002,133.0,139.0,147.4,157.3,174.10000000000008,201.0,60.06265395401705,86,53.92,28,42.900000000000006,44.0,45.0,46.75,47.7,49.0,49.6,51.0,38.949999999999996,52.0,53.0,54.4,58.35000000000001,60.0,63.0,64.0,65.14999999999999,67.10000000000001,70.1,10.798777708611285,117,59.68,29,33.0,33.0,34.0,35.0,38.7,41.65,45.0,50.0,31.95,56.5,61.45,67.0,68.35000000000001,74.6,77.0,81.2,89.29999999999998,97.10000000000001,106.14999999999999,24.887297965026253
158,64.89,24,59.9,60.0,60.0,60.0,61.0,61.0,61.0,61.0,58.650000000000006,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.10000000000001,123.29999999999998,20.59023797822648,68,30.51,20,27.9,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,41.10000000000001,46.05,7.557109235680003,96,40.28,27,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,35.949999999999996,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,57.29999999999998,9.14776475429927
248,105.34,15,20.0,22.0,24.8,30.0,38.4,47.3,70.0,84.25000000000006,16.95,105.0,113.0,120.2,136.70000000000002,145.3,171.5,184.8,195.14999999999998,216.0000000000001,230.05,73.77699099312738,105,55.03,22,32.0,35.0,38.8,42.0,45.0,48.65,51.0,53.0,29.85,55.0,56.0,57.0,58.35000000000001,60.3,64.0,68.0,72.44999999999997,80.10000000000001,86.19999999999999,17.95352611605865,141,66.79,22,25.9,28.85,34.8,36.75,42.0,50.65,54.0,55.550000000000004,24.0,60.5,71.45,74.0,79.35000000000001,82.3,88.5,98.2,105.29999999999998,115.10000000000001,122.29999999999998,32.709110351704766
244,122.54,20,24.0,26.0,27.8,31.75,42.5,52.499999999999986,84.00000000000003,117.30000000000003,22.0,136.5,156.0,162.8,176.35000000000002,186.2,194.0,200.2,218.74999999999994,229.1,236.0,79.91000187711172,85,53.35,23,39.9,41.0,42.0,44.0,45.0,46.65,47.0,48.550000000000004,37.95,50.0,51.0,52.0,54.35000000000001,57.0,60.5,64.0,72.0,77.10000000000001,81.0,13.747272456745737,132,68.66,27,33.0,34.0,36.0,38.0,41.7,46.3,51.2,60.75000000000002,31.0,65.0,71.45,76.0,80.35000000000001,83.3,88.0,100.00000000000001,109.14999999999999,119.10000000000001,127.1,31.50848139787127
223,72.04,23,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,58.95,61.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,80.70000000000023,188.2,37.9957681854177,68,31.9,21,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.14999999999999,48.20000000000002,60.0,9.986490875177326,106,43.41,32,37.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,39.2,40.0,50.50000000000004,89.39999999999998,15.67615705458452
64,60.84,58,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,0.9457272334029511,30,28.26,26,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,30.0,0.7017121917139533,40,38.34,36,37.900000000000006,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,0.8272847151978574
63,60.68,53,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.10000000000001,62.0,1.1214276615100949,31,28.39,23,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,0.9153687781435413,41,38.32,35,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.05,0.7984985911070853
234,104.1,16,18.900000000000002,19.0,25.8,32.5,43.5,58.65,88.2,99.10000000000001,18.0,115.5,123.35000000000001,135.8,142.35000000000002,151.3,157.0,164.0,167.0,193.1,205.2,65.35525992603809,102,61.54,38,45.0,46.849999999999994,49.6,52.0,54.0,55.0,56.6,58.0,43.0,59.5,62.0,63.0,65.35000000000001,66.3,70.0,73.2,76.14999999999999,78.40000000000003,85.19999999999999,13.667055279027739,131,69.19,25,33.0,36.0,38.8,41.75,44.0,49.65,56.2,61.550000000000004,30.950000000000003,71.0,76.0,77.4,83.35000000000001,85.6,89.25,100.0,103.29999999999998,106.80000000000007,120.05,28.992307600465335
